"loan_id","gender","married","dependents","education","self_employed","applicant_income","applicant_income_category","coapplicant_status","coapplicant_income","total_income","total_income_cat","loan_amount","loan_type","loan_amount_cat","loan_term","credit_history","property_area","loan_status","emi","dti"
"LP001027","Male","Yes","2","Graduate","No",2500,"Low","Yes","1840.00","4340.00","Medium",109000,"Mortgage","Medium",360,"Yes","Urban","Approved","302.78","6.98"
"LP001002","Male","No","0","Graduate","No",5849,"High","No","0.00","5849.00","Medium",146000,"Mortgage","Medium",360,"Yes","Urban","Approved","405.56","6.93"
"LP001106","Male","Yes","0","Graduate","No",2275,"Low","Yes","2067.00","4342.00","Medium",146000,"Mortgage","Medium",360,"Yes","Urban","Approved","405.56","9.34"
"LP001213","Male","Yes","1","Graduate","No",4945,"Medium","No","0.00","4945.00","Medium",146000,"Mortgage","Medium",360,"No","Rural","Rejected","405.56","8.20"
"LP001266","Male","Yes","1","Graduate","Yes",2395,"Low","No","0.00","2395.00","Low",146000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","405.56","16.93"
"LP001109","Male","Yes","0","Graduate","No",1828,"Low","Yes","1330.00","3158.00","Low",100000,"Retail","Medium",360,"No","Urban","Rejected","277.78","8.80"
"LP001136","Male","Yes","0","Not Graduate","Yes",4695,"Medium","No","0.00","4695.00","Medium",96000,"Retail","Medium",360,"Yes","Urban","Approved","266.67","5.68"
"LP001137","Female","No","0","Graduate","No",3410,"Medium","No","0.00","3410.00","Low",88000,"Retail","Medium",360,"Yes","Urban","Approved","244.44","7.17"
"LP001250","Male","Yes","3+","Not Graduate","No",4755,"Medium","No","0.00","4755.00","Medium",95000,"Retail","Medium",360,"No","Semiurban","Rejected","263.89","5.55"
"LP001034","Male","No","1","Not Graduate","No",3596,"Medium","No","0.00","3596.00","Low",100000,"Retail","Medium",240,"Unknown","Urban","Approved","416.67","11.59"
"LP001123","Male","Yes","0","Graduate","No",2400,"Low","No","0.00","2400.00","Low",75000,"Retail","Medium",360,"Unknown","Urban","Approved","208.33","8.68"
"LP001264","Male","Yes","3+","Not Graduate","Yes",3333,"Medium","Yes","2166.00","5499.00","Medium",130000,"Mortgage","Medium",360,"Unknown","Semiurban","Approved","361.11","6.57"
"LP001273","Male","Yes","0","Graduate","No",6000,"High","Yes","2250.00","8250.00","High",265000,"Mortgage","High",360,"Unknown","Semiurban","Rejected","736.11","8.92"
"LP001275","Male","Yes","1","Graduate","No",3988,"Medium","No","0.00","3988.00","Low",50000,"Retail","Low",240,"Yes","Urban","Approved","208.33","5.22"
"LP001279","Male","No","0","Graduate","No",2366,"Low","Yes","2531.00","4897.00","Medium",136000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","377.78","7.71"
"LP001282","Male","Yes","0","Graduate","No",2500,"Low","Yes","2118.00","4618.00","Medium",104000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","288.89","6.26"
"LP001289","Male","No","0","Graduate","No",8566,"High","No","0.00","8566.00","High",210000,"Mortgage","High",360,"Yes","Urban","Approved","583.33","6.81"
"LP001310","Male","Yes","0","Graduate","No",5695,"Medium","Yes","4167.00","9862.00","High",175000,"Mortgage","High",360,"Yes","Semiurban","Approved","486.11","4.93"
"LP001316","Male","Yes","0","Graduate","No",2958,"Low","Yes","2900.00","5858.00","Medium",131000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","363.89","6.21"
"LP001318","Male","Yes","2","Graduate","No",6250,"High","Yes","5654.00","11904.00","High",188000,"Mortgage","High",180,"Yes","Semiurban","Approved","1044.44","8.77"
"LP001319","Male","Yes","2","Not Graduate","No",3273,"Low","Yes","1820.00","5093.00","Medium",81000,"Retail","Medium",360,"Yes","Urban","Approved","225.00","4.42"
"LP001322","Male","No","0","Graduate","No",4133,"Medium","No","0.00","4133.00","Medium",122000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","338.89","8.20"
"LP001325","Male","No","0","Not Graduate","No",3620,"Medium","No","0.00","3620.00","Low",25000,"Retail","Low",120,"Yes","Semiurban","Approved","208.33","5.76"
"LP001327","Female","Yes","0","Graduate","No",2484,"Low","Yes","2302.00","4786.00","Medium",137000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","380.56","7.95"
"LP001333","Male","Yes","0","Graduate","No",1977,"Low","Yes","997.00","2974.00","Low",50000,"Retail","Low",360,"Yes","Semiurban","Approved","138.89","4.67"
"LP001334","Male","Yes","0","Not Graduate","No",4188,"Medium","No","0.00","4188.00","Medium",115000,"Mortgage","Medium",180,"Yes","Semiurban","Approved","638.89","15.26"
"LP001343","Male","Yes","0","Graduate","No",1759,"Low","Yes","3541.00","5300.00","Medium",131000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","363.89","6.87"
"LP001345","Male","Yes","2","Not Graduate","No",4288,"Medium","Yes","3263.00","7551.00","High",133000,"Mortgage","Medium",180,"Yes","Urban","Approved","738.89","9.79"
"LP001349","Male","No","0","Graduate","No",4843,"Medium","Yes","3806.00","8649.00","High",151000,"Mortgage","High",360,"Yes","Semiurban","Approved","419.44","4.85"
"LP001367","Male","Yes","1","Graduate","No",3052,"Low","Yes","1030.00","4082.00","Medium",100000,"Retail","Medium",360,"Yes","Urban","Approved","277.78","6.80"
"LP001369","Male","Yes","2","Graduate","No",11417,"Very High","Yes","1126.00","12543.00","Very High",225000,"Mortgage","High",360,"Yes","Urban","Approved","625.00","4.98"
"LP001379","Male","Yes","2","Graduate","No",3800,"Medium","Yes","3600.00","7400.00","High",216000,"Mortgage","High",360,"No","Urban","Rejected","600.00","8.11"
"LP001384","Male","Yes","3+","Not Graduate","No",2071,"Low","Yes","754.00","2825.00","Low",94000,"Retail","Medium",480,"Yes","Semiurban","Approved","195.83","6.93"
"LP001385","Male","No","0","Graduate","No",5316,"Medium","No","0.00","5316.00","Medium",136000,"Mortgage","Medium",360,"Yes","Urban","Approved","377.78","7.11"
"LP001401","Male","Yes","1","Graduate","No",14583,"Very High","No","0.00","14583.00","Very High",185000,"Mortgage","High",180,"Yes","Rural","Approved","1027.78","7.05"
"LP001404","Female","Yes","0","Graduate","No",3167,"Low","Yes","2283.00","5450.00","Medium",154000,"Mortgage","High",360,"Yes","Semiurban","Approved","427.78","7.85"
"LP001421","Male","Yes","0","Graduate","No",5568,"Medium","Yes","2142.00","7710.00","High",175000,"Mortgage","High",360,"Yes","Rural","Rejected","486.11","6.30"
"LP001422","Female","No","0","Graduate","No",10408,"Very High","No","0.00","10408.00","High",259000,"Mortgage","High",360,"Yes","Urban","Approved","719.44","6.91"
"LP001430","Female","No","0","Graduate","No",4166,"Medium","No","0.00","4166.00","Medium",44000,"Retail","Low",360,"Yes","Semiurban","Approved","122.22","2.93"
"LP001431","Female","No","0","Graduate","No",2137,"Low","Yes","8980.00","11117.00","High",137000,"Mortgage","Medium",360,"No","Semiurban","Approved","380.56","3.42"
"LP001432","Male","Yes","2","Graduate","No",2957,"Low","No","0.00","2957.00","Low",81000,"Retail","Medium",360,"Yes","Semiurban","Approved","225.00","7.61"
"LP001439","Male","Yes","0","Not Graduate","No",4300,"Medium","Yes","2014.00","6314.00","Medium",194000,"Mortgage","High",360,"Yes","Rural","Approved","538.89","8.53"
"LP001451","Male","Yes","1","Graduate","Yes",10513,"Very High","Yes","3850.00","14363.00","Very High",160000,"Mortgage","High",180,"No","Urban","Rejected","888.89","6.19"
"LP001473","Male","No","0","Graduate","No",2014,"Low","Yes","1929.00","3943.00","Low",74000,"Retail","Medium",360,"Yes","Urban","Approved","205.56","5.21"
"LP001478","Male","No","0","Graduate","No",2718,"Low","No","0.00","2718.00","Low",70000,"Retail","Medium",360,"Yes","Semiurban","Approved","194.44","7.15"
"LP001482","Male","Yes","0","Graduate","Yes",3459,"Medium","No","0.00","3459.00","Low",25000,"Retail","Low",120,"Yes","Semiurban","Approved","208.33","6.02"
"LP001487","Male","No","0","Graduate","No",4895,"Medium","No","0.00","4895.00","Medium",102000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","283.33","5.79"
"LP001488","Male","Yes","3+","Graduate","No",4000,"Medium","Yes","7750.00","11750.00","High",290000,"Mortgage","High",360,"Yes","Semiurban","Rejected","805.56","6.86"
"LP001489","Female","Yes","0","Graduate","No",4583,"Medium","No","0.00","4583.00","Medium",84000,"Retail","Medium",360,"Yes","Rural","Rejected","233.33","5.09"
"LP001491","Male","Yes","2","Graduate","Yes",3316,"Low","Yes","3500.00","6816.00","Medium",88000,"Retail","Medium",360,"Yes","Urban","Approved","244.44","3.59"
"LP001492","Male","No","0","Graduate","No",14999,"Very High","No","0.00","14999.00","Very High",242000,"Mortgage","High",360,"No","Semiurban","Rejected","672.22","4.48"
"LP001493","Male","Yes","2","Not Graduate","No",4200,"Medium","Yes","1430.00","5630.00","Medium",129000,"Mortgage","Medium",360,"Yes","Rural","Rejected","358.33","6.36"
"LP001497","Male","Yes","2","Graduate","No",5042,"Medium","Yes","2083.00","7125.00","High",185000,"Mortgage","High",360,"Yes","Rural","Rejected","513.89","7.21"
"LP001498","Male","No","0","Graduate","No",5417,"Medium","No","0.00","5417.00","Medium",168000,"Mortgage","High",360,"Yes","Urban","Approved","466.67","8.61"
"LP001504","Male","No","0","Graduate","Yes",6950,"High","No","0.00","6950.00","Medium",175000,"Mortgage","High",180,"Yes","Semiurban","Approved","972.22","13.99"
"LP001507","Male","Yes","0","Graduate","No",2698,"Low","Yes","2034.00","4732.00","Medium",122000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","338.89","7.16"
"LP001508","Male","Yes","2","Graduate","No",11757,"Very High","No","0.00","11757.00","High",187000,"Mortgage","High",180,"Yes","Urban","Approved","1038.89","8.84"
"LP001514","Female","Yes","0","Graduate","No",2330,"Low","Yes","4486.00","6816.00","Medium",100000,"Retail","Medium",360,"Yes","Semiurban","Approved","277.78","4.08"
"LP001516","Female","Yes","2","Graduate","No",14866,"Very High","No","0.00","14866.00","Very High",70000,"Retail","Medium",360,"Yes","Urban","Approved","194.44","1.31"
"LP001518","Male","Yes","1","Graduate","No",1538,"Low","Yes","1425.00","2963.00","Low",30000,"Retail","Low",360,"Yes","Urban","Approved","83.33","2.81"
"LP001519","Female","No","0","Graduate","No",10000,"Very High","Yes","1666.00","11666.00","High",225000,"Mortgage","High",360,"Yes","Rural","Rejected","625.00","5.36"
"LP001520","Male","Yes","0","Graduate","No",4860,"Medium","Yes","830.00","5690.00","Medium",125000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","347.22","6.10"
"LP001528","Male","No","0","Graduate","No",6277,"High","No","0.00","6277.00","Medium",118000,"Mortgage","Medium",360,"No","Rural","Rejected","327.78","5.22"
"LP001529","Male","Yes","0","Graduate","Yes",2577,"Low","Yes","3750.00","6327.00","Medium",152000,"Mortgage","High",360,"Yes","Rural","Approved","422.22","6.67"
"LP001531","Male","No","0","Graduate","No",9166,"High","No","0.00","9166.00","High",244000,"Mortgage","High",360,"Yes","Urban","Rejected","677.78","7.39"
"LP001532","Male","Yes","2","Not Graduate","No",2281,"Low","No","0.00","2281.00","Low",113000,"Mortgage","Medium",360,"Yes","Rural","Rejected","313.89","13.76"
"LP001535","Male","No","0","Graduate","No",3254,"Low","No","0.00","3254.00","Low",50000,"Retail","Low",360,"Yes","Urban","Approved","138.89","4.27"
"LP001536","Male","Yes","3+","Graduate","No",39999,"Very High","No","0.00","39999.00","Very High",600000,"Mortgage","Very High",180,"No","Semiurban","Approved","3333.33","8.33"
"LP001543","Male","Yes","1","Graduate","No",9538,"High","No","0.00","9538.00","High",187000,"Mortgage","High",360,"Yes","Urban","Approved","519.44","5.45"
"LP001552","Male","Yes","0","Graduate","No",4583,"Medium","Yes","5625.00","10208.00","High",255000,"Mortgage","High",360,"Yes","Semiurban","Approved","708.33","6.94"
"LP001560","Male","Yes","0","Not Graduate","No",1863,"Low","Yes","1041.00","2904.00","Low",98000,"Retail","Medium",360,"Yes","Semiurban","Approved","272.22","9.37"
"LP001562","Male","Yes","0","Graduate","No",7933,"High","No","0.00","7933.00","High",275000,"Mortgage","High",360,"Yes","Urban","Rejected","763.89","9.63"
"LP001565","Male","Yes","1","Graduate","No",3089,"Low","Yes","1280.00","4369.00","Medium",121000,"Mortgage","Medium",360,"No","Semiurban","Rejected","336.11","7.69"
"LP001570","Male","Yes","2","Graduate","No",4167,"Medium","Yes","1447.00","5614.00","Medium",158000,"Mortgage","High",360,"Yes","Rural","Approved","438.89","7.82"
"LP001572","Male","Yes","0","Graduate","No",9323,"High","No","0.00","9323.00","High",75000,"Retail","Medium",180,"Yes","Urban","Approved","416.67","4.47"
"LP001577","Female","Yes","0","Graduate","No",4583,"Medium","No","0.00","4583.00","Medium",112000,"Mortgage","Medium",360,"Yes","Rural","Rejected","311.11","6.79"
"LP001578","Male","Yes","0","Graduate","No",2439,"Low","Yes","3333.00","5772.00","Medium",129000,"Mortgage","Medium",360,"Yes","Rural","Approved","358.33","6.21"
"LP001391","Male","Yes","0","Not Graduate","No",3572,"Medium","Yes","4114.00","7686.00","High",152000,"Mortgage","High",360,"No","Rural","Rejected","422.22","5.49"
"LP001574","Male","Yes","0","Graduate","No",3707,"Medium","Yes","3166.00","6873.00","Medium",182000,"Mortgage","High",360,"Yes","Rural","Approved","505.56","7.36"
"LP001370","Male","No","0","Not Graduate","No",7333,"High","No","0.00","7333.00","High",120000,"Mortgage","Medium",360,"Yes","Rural","Rejected","333.33","4.55"
"LP001387","Female","Yes","0","Graduate","No",2929,"Low","Yes","2333.00","5262.00","Medium",139000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","386.11","7.34"
"LP001356","Male","Yes","0","Graduate","No",4652,"Medium","Yes","3583.00","8235.00","High",146000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","405.56","4.92"
"LP001392","Female","No","1","Graduate","Yes",7451,"High","No","0.00","7451.00","High",146000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","405.56","5.44"
"LP001449","Male","No","0","Graduate","No",3865,"Medium","Yes","1640.00","5505.00","Medium",146000,"Mortgage","Medium",360,"Yes","Rural","Approved","405.56","7.37"
"LP001280","Male","Yes","2","Not Graduate","No",3333,"Medium","Yes","2000.00","5333.00","Medium",99000,"Retail","Medium",360,"Unknown","Semiurban","Approved","275.00","5.16"
"LP001350","Male","Yes","0","Graduate","No",13650,"Very High","No","0.00","13650.00","Very High",146000,"Mortgage","Medium",360,"Yes","Urban","Approved","405.56","2.97"
"LP001405","Male","Yes","1","Graduate","No",2214,"Low","Yes","1398.00","3612.00","Low",85000,"Retail","Medium",360,"Unknown","Urban","Approved","236.11","6.54"
"LP001443","Female","No","0","Graduate","No",3692,"Medium","No","0.00","3692.00","Low",93000,"Retail","Medium",360,"Unknown","Rural","Approved","258.33","7.00"
"LP001465","Male","Yes","0","Graduate","No",6080,"High","Yes","2569.00","8649.00","High",182000,"Mortgage","High",360,"Unknown","Rural","Rejected","505.56","5.85"
"LP001579","Male","No","0","Graduate","No",2237,"Low","No","0.00","2237.00","Low",63000,"Retail","Medium",480,"No","Semiurban","Rejected","131.25","5.87"
"LP001580","Male","Yes","2","Graduate","No",8000,"High","No","0.00","8000.00","High",200000,"Mortgage","High",360,"Yes","Semiurban","Approved","555.56","6.94"
"LP001586","Male","Yes","3+","Not Graduate","No",3522,"Medium","No","0.00","3522.00","Low",81000,"Retail","Medium",180,"Yes","Rural","Rejected","450.00","12.78"
"LP001594","Male","Yes","0","Graduate","No",5708,"Medium","Yes","5625.00","11333.00","High",187000,"Mortgage","High",360,"Yes","Semiurban","Approved","519.44","4.58"
"LP001603","Male","Yes","0","Not Graduate","Yes",4344,"Medium","Yes","736.00","5080.00","Medium",87000,"Retail","Medium",360,"Yes","Semiurban","Rejected","241.67","4.76"
"LP001606","Male","Yes","0","Graduate","No",3497,"Medium","Yes","1964.00","5461.00","Medium",116000,"Mortgage","Medium",360,"Yes","Rural","Approved","322.22","5.90"
"LP001608","Male","Yes","2","Graduate","No",2045,"Low","Yes","1619.00","3664.00","Low",101000,"Mortgage","Medium",360,"Yes","Rural","Approved","280.56","7.66"
"LP001610","Male","Yes","3+","Graduate","No",5516,"Medium","Yes","11300.00","16816.00","Very High",495000,"Mortgage","Very High",360,"No","Semiurban","Rejected","1375.00","8.18"
"LP001616","Male","Yes","1","Graduate","No",3750,"Medium","No","0.00","3750.00","Low",116000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","322.22","8.59"
"LP001630","Male","No","0","Not Graduate","No",2333,"Low","Yes","1451.00","3784.00","Low",102000,"Mortgage","Medium",480,"No","Urban","Rejected","212.50","5.62"
